t,Vin_sim,Vc_sim,Vout_sim
0.0,0.0,0.0,0.0
5e-05,0.0,0.0,0.0
0.0001,0.0,0.0,0.0
0.00015000000000000001,0.0,0.0,0.0
0.0002,0.0,0.0,0.0
0.00025,0.0,0.0,0.0
0.00030000000000000003,0.0,0.0,0.0
0.00035,0.0,0.0,0.0
0.0004,0.0,0.0,0.0
0.00045000000000000004,0.0,0.0,0.0
0.0005,0.0,0.0,0.0
0.00055,0.0,0.0,0.0
0.0006000000000000001,0.0,0.0,0.0
0.0006500000000000001,0.0,0.0,0.0
0.0007,0.0,0.0,0.0
0.00075,0.0,0.0,0.0
0.0008,0.0,0.0,0.0
0.0008500000000000001,0.0,0.0,0.0
0.0009000000000000001,0.0,0.0,0.0
0.00095,0.0,0.0,0.0
0.001,0.0,0.0,0.0
0.0010500000000000002,0.0,0.0,0.0
0.0011,0.0,0.0,0.0
0.00115,0.0,0.0,0.0
0.0012000000000000001,0.0,0.0,0.0
0.00125,0.0,0.0,0.0
0.0013000000000000002,0.0,0.0,0.0
0.00135,0.0,0.0,0.0
0.0014,0.0,0.0,0.0
0.0014500000000000001,0.0,0.0,0.0
0.0015,0.0,0.0,0.0
0.0015500000000000002,0.0,0.0,0.0
0.0016,0.0,0.0,0.0
0.00165,0.0,0.0,0.0
0.0017000000000000001,0.0,0.0,0.0
0.00175,0.0,0.0,0.0
0.0018000000000000002,0.0,0.0,0.0
0.00185,0.0,0.0,0.0
0.0019,0.0,0.0,0.0
0.0019500000000000001,0.0,0.0,0.0
0.002,0.0,0.0,0.0
0.00205,0.0,0.0,0.0
0.0021000000000000003,0.0,0.0,0.0
0.00215,0.0,0.0,0.0
0.0022,0.0,0.0,0.0
0.0022500000000000003,0.0,0.0,0.0
0.0023,0.0,0.0,0.0
0.00235,0.0,0.0,0.0
0.0024000000000000002,0.0,0.0,0.0
0.00245,-0.06623781832237836,-0.0003202989280579225,0.0
0.0025,-0.06293562185918221,-0.0006221912345924481,0.0
